project_short_name,case_barcode,sample_barcode,aliquot_barcode,HGNC_gene_symbol,gene_id,normalized_count,original_gene_symbol,platform
TCGA-KIRP,TCGA-P4-A5E6,TCGA-P4-A5E6-01A,TCGA-P4-A5E6-01A-11R-A28H-07,SEC31B,25956,255.6894,SEC31B,IlluminaHiSeq
TCGA-KIRP,TCGA-Q2-A5QZ,TCGA-Q2-A5QZ-01A,TCGA-Q2-A5QZ-01A-11R-A28H-07,TMEM87A,25963,1877.9599,TMEM87A,IlluminaHiSeq
TCGA-KIRP,TCGA-MH-A561,TCGA-MH-A561-01A,TCGA-MH-A561-01A-11R-A26U-07,NEK5,341676,10.8559,NEK5,IlluminaHiSeq
TCGA-KIRP,TCGA-2Z-A9J7,TCGA-2Z-A9J7-01A,TCGA-2Z-A9J7-01A-11R-A38C-07,EHF,26298,4.755,EHF,IlluminaHiSeq
TCGA-KIRP,TCGA-KV-A74V,TCGA-KV-A74V-01A,TCGA-KV-A74V-01A-11R-A33Z-07,SLC16A10,117247,56.88,SLC16A10,IlluminaHiSeq
TCGA-KIRP,TCGA-UZ-A9PJ,TCGA-UZ-A9PJ-01A,TCGA-UZ-A9PJ-01A-11R-A38C-07,TUBB4A,10382,845.5548,TUBB4,IlluminaHiSeq
TCGA-KIRP,TCGA-Q2-A5QZ,TCGA-Q2-A5QZ-01A,TCGA-Q2-A5QZ-01A-11R-A28H-07,ANO1,55107,127.5046,ANO1,IlluminaHiSeq
TCGA-KIRP,TCGA-J7-A8I2,TCGA-J7-A8I2-01A,TCGA-J7-A8I2-01A-12R-A36F-07,SLC34A3,142680,14.4049,SLC34A3,IlluminaHiSeq
TCGA-KIRP,TCGA-B9-4114,TCGA-B9-4114-01A,TCGA-B9-4114-01A-01R-1193-07,CNN3,1266,6039.4452,CNN3,IlluminaHiSeq
TCGA-KIRP,TCGA-A4-A7UZ,TCGA-A4-A7UZ-01A,TCGA-A4-A7UZ-01A-12R-A355-07,DEAF1,10522,1166.4648,DEAF1,IlluminaHiSeq
TCGA-KIRP,TCGA-MH-A560,TCGA-MH-A560-01A,TCGA-MH-A560-01A-11R-A26U-07,DLGAP2,9228,1.278,DLGAP2,IlluminaHiSeq
TCGA-KIRP,TCGA-B9-5156,TCGA-B9-5156-01A,TCGA-B9-5156-01A-01R-1592-07,PEX13,5194,737.471,PEX13,IlluminaHiSeq
TCGA-KIRP,TCGA-2Z-A9JQ,TCGA-2Z-A9JQ-01A,TCGA-2Z-A9JQ-01A-11R-A42S-07,MRPS26,64949,2081.7469,MRPS26,IlluminaHiSeq
TCGA-KIRP,TCGA-AL-3466,TCGA-AL-3466-01A,TCGA-AL-3466-01A-02R-1351-07,TARS2,80222,928.9583,TARS2,IlluminaHiSeq
TCGA-KIRP,TCGA-A4-7584,TCGA-A4-7584-01A,TCGA-A4-7584-01A-11R-2139-07,PAOX,196743,242.3847,PAOX,IlluminaHiSeq
